"Кампания ""Единая перфоманс-кампания №4 от 13-10-2025"" (704073639), период 02.02.2026 - 06.02.2026"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 02.02.2026 по 06.02.2026";;336,28;2332;168;7,20;1681,39;10,01;3,57;280,23;6

"Дата";"Поисковый запрос";"Группа";"№ Группы";"Условие показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
02.02.2026;"можно ли вылечиться от панических атак навсегда";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"можно отвлечься от накручивать мысли";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"молитва от страха и тревоги";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"мужской журнал психология";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"музыка от депрессии тревоги и страха";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"мышление какое бывает в психологии";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"наведенный страх";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"навязчивые мысли как избавиться";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"навязчивые мысли что это";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"настойка пустырника для чего";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"настойки от расстройства нервной системы";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"не могла успокоиться";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"не могу успокоиться что делать";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"невроз";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"нейропсихолог что делает";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"нейрохирургическое лечение психических расстройств";"Тревога и паника";5662806799;"психотерапевт";"семантическое";"лечение психический";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"нервная дрожь не дает спать";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"нервная система истощена что может помочь";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"нервное истощение симптомы и лечение у женщин";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"несуществующее животное методика интерпретация для психологов";"Тревога и паника";5662806799;"психолог -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"новопассит";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"номер врача психолога на машзаводе в кунгуре";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"номер телефона регистратуры черемхово психдиспансера";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";2;0;0,00;0,00;-;-;-;0
02.02.2026;"ободрительные духовные слова при перелете на самолете для подруги после операции на сердце";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"обработка прл";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"оказывать эффект но кратковременно препараты снижают тревогу но не обучают жить иначе также важно понимать что быстрой отмене лечения возрастает риск рецидива заболевания";"Тревога и паника";5662806799;"тревожное расстройство";"семантическое";"тревоги заболевания";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"окр";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"ольга чернова психосоматика";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"онлайн диагностика самооценки розенберга";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"онлайн консультация доктора";"Тревога и паника";5662806799;'---autotargeting;-;-;"Широкие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"онлайн психолог в телеграмме";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"онлайн психолог тг";"Тревога и паника";5662806799;"психолог онлайн -записываться -консультация -анонимный -помощь";"семантическое";-;"Альтернативные запросы";2;0;0,00;0,00;-;-;-;0
02.02.2026;"опасна ли паническая атака для жизни";"Тревога и паника";5662806799;"паническая атака -проявляться -психотерапевт";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"органические астенические расстройства с тревожными симптомами";"Тревога и паника";5662806799;"тревожное расстройство";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"острая реакция которая может перерасти в панику";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"от лятяо паническая атака";"Тревога и паника";5662806799;"паническая атака -проявляться -психотерапевт";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"оқушыға мінездеме психолог";"Тревога и паника";5662806799;"психолог -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"павлодар психиатр";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"павлодар психиатр центр здоровья";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"паксил инструкция по применению и для чего назначают взрослым";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"паническая атака";"Тревога и паника";5662806799;"паническая атака -проявляться -психотерапевт";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"паническая атака";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"паническая атака симптомы";"Тревога и паника";5662806799;"что такое паническая атака как она проявляется";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"панические атаки";"Тревога и паника";5662806799;"""паническая атака""";"пословное";-;"не определено";1;0;0,00;0,00;-;-;-;0
02.02.2026;"панические атаки как проявляются";"Тревога и паника";5662806799;"""как проявляется паническая атака""";"пословное";-;"Сопутствующие запросы";1;1;100,00;0,00;0,00;-;-;0
02.02.2026;"паническое расстройство симптомы";"Тревога и паника";5662806799;"паническая атака -проявляться -психотерапевт";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"пароксетин таблетки инструкция по применению цена";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"пикабу иоганн сваммердам психология";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"пловчиха которая тренировала психологию победителя";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";3;0;0,00;0,00;-;-;-;0
02.02.2026;"плохое психоэмоциональное состояние это";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"пнд глазов первомайская 8 телефон регистратуры";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"пол клейнман психология";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"пол клейнман психология читать";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"получите консультацию психолога сейчас по телефону";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"постоянное чувство тревоги и беспокойства причины";"Тревога и паника";5662806799;"тревожное расстройство";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"потерялся голос психосоматика";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"почему при волнении болит сердце";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"почему страх тревожность";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"православный психолог тат воробьева";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"презентация от психолога";"Тревога и паника";5662806799;"психолог -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"при волнении болит сердце";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"принимаю золофт 5 месяцев стало опять слегка тревожиться совет врача";"Тревога и паника";5662806799;"тревожное расстройство";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"приступ социофобии тест";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"пробные тесты для психолога в школе";"Тревога и паника";5662806799;"психолог -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"программа психолога по реабилитации кардиохирургических больных";"Тревога и паника";5662806799;"психолог -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"проецирование это в психологии";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"профессиональное выгорание";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психдиспансер великие луки регистратура телефон";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психиатр по омс";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психиатрический диспансер могилев отделение неврозов";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";2;0;0,00;0,00;-;-;-;0
02.02.2026;"психиатрическое отделение";"Тревога и паника";5662806799;'---autotargeting;-;-;"Широкие запросы";1;1;100,00;0,00;0,00;-;-;0
02.02.2026;"психические расстройства у подростков";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог";"Тревога и паника";5662806799;"""психолог""";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог";"Тревога и паника";5662806799;"""психолог""";"пословное";-;"Широкие запросы";3;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог";"Тревога и паника";5662806799;"психолог -онлайн";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог в телеграмме";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог маманның міндеттері";"Тревога и паника";5662806799;"психолог -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог с разноцветными волосами";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог с фамилией пугачев";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог сатья дас об импотенции";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог сия";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог школы 51 города семей";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психолог эдита заровская";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологическая игра полина советует";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологическая подготовка к воуд 4 9 класс";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологическая помощь тг";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологическая помощь тг";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологические запросы";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологические особенности суицидентов депрессия тревожные расстройства и другие";"Тревога и паника";5662806799;"тревожное расстройство";"пословное";-;"Сопутствующие запросы";1;1;100,00;0,00;0,00;-;-;0
02.02.2026;"психологические ситуации для разбора с подростком";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологический настрой на урок";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологический тест госслужба";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологическое заключение для взрослого образец";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психологическое обеспечение персонала в электросетях";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
02.02.2026;"психологическое упражнение противоположные действия козлят";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психология бессознательного";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психология влияния";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";3;0;0,00;0,00;-;-;-;0
02.02.2026;"психология и аромат розмарина";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психология как соблазнять женщин";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психология методы борьбы с тревожностью";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психология отношений как перестроить себя";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психология отношений книги";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психология по сказке";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психология понимание своего организма";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психология ужаса";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психоневрологическая поликлиника в сатке телефон";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт";"Тревога и паника";5662806799;"психотерапевт";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт";"Тревога и паника";5662806799;"психотерапевт";"семантическое";-;"Широкие запросы";2;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт";"Тревога и паника";5662806799;'---autotargeting;-;-;"Широкие запросы";6;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт актау";"Тревога и паника";5662806799;"психотерапевт";"семантическое";-;"Широкие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт актау камиш";"Тревога и паника";5662806799;"психотерапевт";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт глубокое";"Тревога и паника";5662806799;"психотерапевт";"семантическое";-;"Широкие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт кашпировский";"Тревога и паника";5662806799;"психотерапевт";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт сериал";"Тревога и паника";5662806799;"психотерапевт";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт степногорск казахстан";"Тревога и паника";5662806799;"психотерапевт";"семантическое";-;"Широкие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапевт это";"Тревога и паника";5662806799;"психотерапевт";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"психотерапия семейных кризисов";"Тревога и паника";5662806799;"психотерапевт";"семантическое";"психотерапия";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"р лихи свобода от тревоги";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"растительные успокоительные средства";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"рачки как вы справляетесь с тревожным расстройством";"Тревога и паника";5662806799;"тревожное расстройство";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"реверсивная психология";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"регистратура психоневрологического диспансера череповец";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"резко плохо на душе охото плакать";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"республиканская педагогическая олимпиада талантливый учитель одаренным детям психолог";"Тревога и паника";5662806799;"психолог -онлайн";"пословное";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"рнпц психического здоровья";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психический  -онлайн";"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"рнпц психического здоровья";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"роде дмитрий психологический портрет";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психологический  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"рэпт терапия";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"сайт акмолинский областной центр психического здоровья";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психический  -онлайн";"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"самое крепкое успокоительное для взрослых безрецептурное";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"самые рекомендуемые книги по психологии";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"сатья психолог";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"свобода от тревоги";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"свобода от тревоги купить алматы";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"свобода от тревоги роберт лихи";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"свобода от тревоги читать";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"седативный";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"сердце как замирает тревога что это значит";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"сможет ли пустырник избавить от головных болей";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"снятся вороны психология";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"снятся змеи психология";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"советы психолога при тревожности";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"советы самопомощи при стрессе и тревожности";"Тревога и паника";5662806799;"тревожное расстройство";"семантическое";-;"Сопутствующие запросы";1;1;100,00;0,00;0,00;-;-;0
02.02.2026;"состояние тревоги";"Тревога и паника";5662806799;"тревожное расстройство";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"стивен хейтс яковлев психолог";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"страхи";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"стрезам";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"стрессы в пожилом возрасте";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
02.02.2026;"судьба и деньги психология";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"супервизия в психологии";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"таблетка от страха курпатов";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"талайко с в психолог";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"танатофобия";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"таропсихолог оло байкал оля";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"телеграм бот психологической помощи";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"телеграм бот психологической помощи";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";3;0;0,00;0,00;-;-;-;0
02.02.2026;"телефон психоневрологической поликлиники сатка регистратура телефон регистратуры";"Тревога и паника";5662806799;'---autotargeting;-;-;"Альтернативные запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"тело боли в психологии";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"терпеть натиск";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"токсичная тревога";"Тревога и паника";5662806799;'---autotargeting;-;-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"трансперсональная психология";"Тревога и паника";5662806799;"психолог -онлайн";"семантическое";"психология  -онлайн";"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
02.02.2026;"тревожно депрессивное расстройство как лечить";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
