Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,Название пакетной стратегии,Тип стратегии,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Подобранная фраза,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
михаил хорс психолог стоимость приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
психолог подольск,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.23,0.00,111.26,3.50,-
невротический ком страх еды психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог по тревожным расстройствам,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.97,0.00,98.32,1.00,-
когнитивно поведенческая терапия пермь,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.54,0.00,126.98,3.00,-
онлайн психотерапевт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,48.32,2,1,1,100.00,48.32,50.00,48.32,2.05,48.67,102.73,3.00,1.00
ольга кириенко психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.45,0.00,122.31,3.00,-
психолог цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
психолог воронеж цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
психолог за 1000 рублей,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.70,0.00,34.92,3.50,-
сеанс психолога цена челябинск,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.32,0.00,115.78,3.00,-
психолог для пожилых инвалидов сколько стоит,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.85,0.00,42.65,5.00,-
сайт психологов какие,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.35,0.00,67.47,2.50,-
реальная психологическая помощь,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
анна бойко психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.79,0.00,89.74,3.00,-
цена хорошего качественного психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.50,0.00,25.07,5.50,-
когнитивный психолог цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.17,0.00,58.55,4.00,-
чапыгина 13 психологический центр официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,сайт психологическая,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
психологические тексты онлайн якоря карьеры,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,онлайн психологический  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,2,0,0,-,-,0.00,-,2.46,0.00,123.17,3.00,-
онлайн консультация психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.42,0.00,70.78,-,-
проверка тревоги уфа,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.51,0.00,125.45,3.00,-
психотерапия по методике кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,29.56,2,1,0,0.00,-,50.00,29.56,1.97,50.88,98.27,3.00,1.00
психотерапевт москва онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психотерапевт онлайн  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
юлия ивлиева психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,50.73,2,1,0,0.00,-,50.00,50.73,2.81,35.56,140.60,1.00,1.00
психологические терапии,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.00,0.00,100.00,-,-
скрипка ольга серафимовна психолог сайт рахинс преподаватель,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,16.97,2,1,0,0.00,-,50.00,16.97,1.09,92.17,54.25,3.00,1.00
мир та психология сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,2,0,0,-,-,0.00,-,2.18,0.00,108.89,3.00,-
елена новоселова психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,3.00,-
кпт в нижнем новгороде,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,49.89,2,1,0,0.00,-,50.00,49.89,1.09,92.17,54.25,5.00,5.00
помощь психолога недорого,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.12,0.00,5.95,7.00,-
юров игорь евгеньевич психотерапевт онлайн консультация,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
домашний психолог саки,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.93,0.00,96.57,2.00,-
сайт центр психологии точка опоры новосибирск,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,36.37,2,1,0,0.00,-,50.00,36.37,1.39,71.82,69.62,5.00,5.00
пройти психолога в омске,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.12,0.00,105.95,3.00,-
наталья жукова психолог стоимость приема и запись на прием,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.79,0.00,39.50,2.50,-
центры психологической помощи,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.40,0.00,69.90,1.50,-
чистичная психология онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,онлайн психология  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
консультации психолога марк бартон сколько стоит,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.04,0.00,51.92,5.00,-
платный психолог с заключением платно в уфе,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
портал психологов психодинамический подход,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.77,0.00,88.40,5.00,-
сайты порталы психология для мужчин,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,2,0,0,-,-,0.00,-,0.87,0.00,43.53,5.00,-
семейный психолог цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
настасья яковлева психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.37,0.00,118.53,3.00,-
татьяна дьяченко психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.89,0.00,94.65,3.00,-
принятие психологический центр,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.44,0.00,72.04,3.50,-
сайт со схемой кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.33,0.00,116.37,3.00,-
екатерина игоревна бурмицкая психолог москва 29 лет москва сайт знакомств burmitskaya табор катерина,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
сайт профессиональных психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.53,0.00,76.38,2.00,-
психологический онлайн интенсив по изменению жизни,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,онлайн психологический  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,0.00,2,0,0,-,-,0.00,-,1.06,0.00,53.15,5.50,-
сайт психолога личный,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.28,0.00,63.99,1.00,-
мария каменецкая нейропсихолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
средняя стоимость психолога в москве,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.29,0.00,64.31,4.50,-
марина нахалова психолог цена консультации,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
что мне делать скажи мне так тревожно,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.20,0.00,59.77,3.00,-
цена услуг психолога волгоград,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
чапыгина 13 психологический центр официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
вячеслав боровских официальный сайт психотерапевт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,сайт психотерапевт,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
сонливость и тревожное расстройство спроси врача,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог по тревожным расстройствам,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
сатья психолог консультация цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,12.62,2,1,0,0.00,-,50.00,12.62,0.87,114.96,43.49,3.50,2.00
консультация психолога пму и стоимость,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.05,0.00,102.41,3.00,-
официальный сайт нейропсихолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
пиму нейропсихолог прием цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
прием психолога стоимость,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,23.86,2,1,0,0.00,-,50.00,23.86,1.89,53.01,94.33,2.00,1.00
сколько стоит консультация у андрея курпатова,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
групповые сеансы психотерапии онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.54,0.00,127.08,3.00,-
психолог орехово зуево,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
сайт методик психологии на счет,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
эксперт психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.54,0.00,27.21,4.50,-
беседа с психологом,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.36,0.00,68.05,3.50,-
психолог ростов на дону консультации,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.08,0.00,54.08,3.50,-
галич психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.01,0.00,100.60,3.00,-
когнитивно поведенческая терапия в новосибирске,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
при тревожном расстройстве какой врач,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,21.44,2,1,1,100.00,21.44,50.00,21.44,1.40,71.37,70.06,1.00,-
bf17 сайт психологов инфантилизм в отношениях,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.91,0.00,95.64,3.00,-
психолог на ломоносова 1 цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.09,0.00,54.25,5.00,-
вика дмитриева психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,45.69,2,1,1,100.00,45.69,50.00,45.69,2.54,39.39,126.95,1.00,1.00
аня квантовый психолог смотреть онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
центр психологии арифа шыхалиева сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,32.64,2,1,1,100.00,32.64,50.00,32.64,2.24,44.64,112.01,3.00,1.00
сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.91,0.00,45.28,3.00,-
медицинский психолог в казани онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.97,0.00,98.53,2.00,-
сайты чтобы справиться с тревогой онлайн помощь,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-
психолог в рошале и в шатуре,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,1.32,0.00,65.94,8.00,-
когнитивная психотерапия в красноярске,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.21,0.00,110.43,3.00,-
рекомендации психолога при тревожности,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.75,0.00,137.26,3.00,-
бурлан системно векторная психология сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,2,0,0,-,-,0.00,-,1.40,0.00,69.81,3.50,-
хороший психолог работающий с тревогой и фобиями,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.45,0.00,122.73,2.00,-
какой врач нужен при тревожных расстройствах,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.48,0.00,123.77,2.00,-
https psychologistbeliakova com,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.52,0.00,126.21,3.00,-
абиа санкт петербург официальный сайт психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.91,0.00,145.52,3.00,-
сайт психолог марина мелия,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,2,0,0,-,-,0.00,-,2.01,0.00,100.30,1.00,-
