Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Формат,Источник текста,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Подобранная фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Название пакетной стратегии,Тип стратегии,Тип кампании,Статус кампании,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
мира психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.28,0.00,28.40,4.00,-,-,-
помощь психотерапевтов при тревогах,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Не определено,-,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
психолог панические атаки онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,"Помощь при тревожности. Конфиденциально, онлайн",Психолог Ксения Парваткина. Структурированный подход с практическими техниками.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
сайты психологии,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог при тревожности. Онлайн.,Разберитесь с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,25-34 года,6–10%,Не определено,психология сайт,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
яндекс услуги психолог онлайн условия,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Тревога и беспокойство? Психолог онлайн.,Конфиденциальные консультации. Структурированный подход. Практические темы.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,2–5%,Не определено,услуги психолога онлайн,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
сайты ведущих научных и образовательных организаций в области психологии,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ онлайн. Конфиденциально и без обязательств.,Научно обоснованный метод. Бесплатная вводная встреча. Помощь при тревоге.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,психология сайт,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.13,0.00,112.63,1.00,-,-,-
личный психолог стоимость,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.68,0.00,68.21,4.00,-,-,-
личный психолог стоимость за год,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.63,0.00,63.46,4.00,-,-,-
услуги психолога средняя цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Не определен,Не определен,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,20.53,1,1,1,100.00,20.53,100.00,20.53,0.06,1585.19,6.31,6.00,6.00,0.00,1.00
психолог онлайн скайп,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Не определен,Старше 55,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.01,0.00,1.29,2.00,-,-,-
психолог при панических атаках ростов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
тревожное расстройство сайт психологов b,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог тревожность онлайн,Семантическое,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог при тревожности. Онлайн.,Разберитесь с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.93,0.00,92.75,2.00,-,-,-
нейропсихолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.23,0.00,123.28,1.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Не определено,-,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
твердовская алена владимировна психолог онлайн консультация,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Топ 1%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.17,0.00,116.91,1.00,-,-,-
психологи дяхлаоэ,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психологи в телеграмм,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.68,0.00,67.98,3.00,-,-,-
стоимость консультации психолога в москве,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.69,0.00,69.07,4.00,-,-,-
поликлиника 15 самара официальный сайт психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.06,0.00,106.16,1.00,-,-,-
в 17 сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.06,0.00,5.58,7.00,-,-,-
психолог в свердловском районе города красноярска цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
сколько обходится консультация психоаналитика американцу,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Не определен,Не определен,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,5.00,-,-,-
психолог казань консультация цены,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ. Онлайн-консультации с психологом.,Помогу разобраться с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
илья шабшин психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.23,0.00,123.24,1.00,-,-,-
авито найти психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,найти психолога онлайн,Семантическое,Широкие запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Топ 1%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.38,0.00,138.06,1.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Не определено,-,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Оригинальный,Женский,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
когнитивный психотерапевт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Не определен,Не определен,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.69,0.00,168.94,1.00,-,-,-
ищу психолога онлайн объявления,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог при тревоге. Конфиденциально и онлайн.,Бесплатная встреча. Конкретные техники. Домашнее задание для закрепления.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психолог челябинск взрослый цены,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог консультация цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.15,0.00,114.59,3.00,-,-,-
психологическая газета сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,КПТ онлайн. Конфиденциально и без обязательств.,Научно обоснованный метод. Бесплатная вводная встреча. Помощь при тревоге.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Не определен,Не определен,2–5%,Не определено,психологический сайт,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.21,0.00,120.54,1.00,-,-,-
поддержка людей психологическая,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,1.12,0.00,112.42,1.00,-,-,-
анонимные чаты психологической поддержки,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,анонимный психолог онлайн,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.74,0.00,74.47,1.00,-,-,-
коррекция тревожных мыслей,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,"Помощь при тревожности. Конфиденциально, онлайн",Психолог Ксения Парваткина. Структурированный подход с практическими техниками.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.98,0.00,98.25,1.00,-,-,-
анонимный чат с психологом,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.81,0.00,80.54,1.00,-,-,-
катя печуричко психолог стоимость записаться,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
психотерапевт кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
консультация психолога петербург онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,1,0,0,-,-,0.00,-,0.33,0.00,33.20,-,-,-,-
