№ Кампании,Название кампании,Тип условия показа,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Тип площадки,Вид размещения,Название площадки,Площадка выключена в РК,Можно запретить площадку,"Расход, ₽",Показы,Клики,"Взвешенный CTR, %","CTR, %",Ср. объём трафика,Ср. позиция показа,Конверсии,"CR, %","CPA, ₽"
704073639,Психолог Ксения,Фраза,цены на психолога в казани,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт в 17 психология официальный,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,4,0,0.00,0.00,77.13,5.00,0,-,-
704073639,Психолог Ксения,Фраза,головинов евгений иванович психолог гипнолог консулттация цена,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,50.84,3.00,0,-,-
704073639,Психолог Ксения,Фраза,тг каналы по поиску психологов,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,занятие психолога второе запрос снижение тревожности,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,54.25,5.00,0,-,-
704073639,Психолог Ксения,Фраза,стоимость консультации психотерапевта новосибирск,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,66.64,3.00,0,-,-
704073639,Психолог Ксения,Фраза,нормально ли что психологи онлайн берут предоплату,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог онлайн,Не определено,-,Семантическое,,Поиск,Спецразмещение,uslugi.yandex.ru,Нет,Да,0.00,4,0,0.00,0.00,100.00,-,0,-,-
704073639,Психолог Ксения,Фраза,хэлснет выбирают сайты агрегаторы психологической помощи или нет,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,онлайн психолог,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,45.00,4.00,0,-,-
704073639,Психолог Ксения,Фраза,помощь психолога онлайн михаил питер,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,помощь психолога онлайн,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,консультация психолога петербург онлайн,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,цена сеанса с психологом,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,132.86,1.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,кпт психолог,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,91.27,11,1,9.62,9.09,94.50,2.55,0,0.00,-
704073639,Психолог Ксения,Автотаргетинг,когнитивно поведенческая терапия спб,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,204.34,5,4,65.96,80.00,121.29,1.60,0,0.00,-
704073639,Психолог Ксения,Автотаргетинг,психолог кпт спб,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,3,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сергей насибян психолог консультация цена,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психолог на дому краснодар,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,кпт онлайн,Целевые запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог галина тимошенко стоимость консультации,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,43.49,3.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт психолог,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,5.58,7.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,личный сайт психолога,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,2,0,0.00,0.00,79.97,1.00,0,-,-
704073639,Психолог Ксения,Фраза,профи ру психологи,Широкие запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,диалог екатеринбург психологический центр сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,консультация психотерапевта онлайн в новосибирске,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,86.61,3.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт православной психологии,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,психология сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог в нижнем новгороде цены,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,121.48,1.00,0,-,-
704073639,Психолог Ксения,Фраза,коуч онлайн,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,5.39,7.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог новосибирск онлайн,Широкие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог яндекс здоровье,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,кпт психолог жуковский,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психологический портрет личности по дате рождения хшановской с расшифровкой рассчитать онлайн,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,онлайн психологический  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,настасья яковлева психолог официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,пла формы для психологов онлайн зарегистрироваться,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,ступино центр семья цена приема психолога,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог ру,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сколько стоит прием психолога в волгограде,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог уфа взрослый стоимость,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,яндекс услуги психолог юлия никитина санкт петербург,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,6.31,6.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,когнитивно поведенческая терапия воронеж,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,30.23,4,1,19.64,25.00,127.26,2.00,0,0.00,-
704073639,Психолог Ксения,Фраза,сколько стоит психолог,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,лично платформа психологов,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,-,0,-,-
704073639,Психолог Ксения,Фраза,мурашева екатерина психолог сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,103.65,1.00,0,-,-
704073639,Психолог Ксения,Фраза,козлова алина борисовна психолог сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,твоя терапия онлайн психолог,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сколько стоит психолог нск,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,78.56,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,когнитивно поведенческая терапия нижний новгород,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,93.04,3.00,0,-,-
704073639,Психолог Ксения,Фраза,сколько стоит в среднем прием психолога в нижнем новгороде,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,73.36,3.00,0,-,-
704073639,Психолог Ксения,Фраза,хороший психолог в волгограде онлайн,Целевые запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,84.41,3.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,хороший психолог в волгограде онлайн,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,110.02,2.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог онлайн,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,97.12,1.00,0,-,-
704073639,Психолог Ксения,Фраза,психотерапевт онлайн консультация,Целевые запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,108.18,2.00,0,-,-
704073639,Психолог Ксения,Фраза,вероника казанцева психолог стоимость приема,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,яндекс услуги психолог,Широкие запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,44.04,4.00,0,-,-
704073639,Психолог Ксения,Фраза,семейный психолог коломна сколько стоит,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,гипнолог онлайн,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,83.28,1.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,когнитивно поведенческая терапия челябинск,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,6.31,6.00,0,-,-
704073639,Психолог Ксения,Фраза,youtalk сайт психологов,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,56.08,2.00,0,-,-
704073639,Психолог Ксения,Фраза,наталья батикова психолог стоимость консультации,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сергей насибян психолог консультация стоимость консультации,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психологические консультации онлайн,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,панов валерий олегович псих в екате есть онлайн консультация психоклиник,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,консультация психолога перед прерыванием беременности цена,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,79.57,4.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психолог кпт,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,4,0,0.00,0.00,30.83,5.25,0,-,-
704073639,Психолог Ксения,Автотаргетинг,сайт психолог,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,5.58,7.00,0,-,-
704073639,Психолог Ксения,Фраза,психологический сайт лила,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,психологический сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,спгс сайт психологов,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психологи авито,Широкие запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,142.70,2.00,0,-,-
704073639,Психолог Ксения,Фраза,интеллект и здоровье психотерапевт управление эмоциями борьба с тревогами,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,3,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,стоимость консультации психолога геронтолога,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,117.60,1.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог для тех кто тревожно относится к боевым действиям,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психология третьего тысячелетия официальный сайт,Сопутствующие запросы,Запросы с упоминанием брендов конкурентов,Семантическое,психология сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,центр психологии,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,3,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психология третьего тысячелетия официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,психология сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психологическая помощь телеграм канал,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,5.19,8.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт психолога владимира ряхина,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,5,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,в17 психология официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,5,0,0.00,0.00,131.50,1.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,центр психологии,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,72.77,2.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог шестаков работает с паническими атаками синдром раздраженного,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сколько зарабатывает онлайн психолог,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,62.02,3.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,красноярск психолог тревожность,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,54.25,5.00,0,-,-
704073639,Психолог Ксения,Фраза,срк фобия помощь психологов,Целевые запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт медкейс ситуационные задачи медицинским психологам,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,стоимость услуг мета поиск психологов,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,76.79,1.00,0,-,-
704073639,Психолог Ксения,Фраза,б 18 сайт психологов,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,подобрать психолога онлайн,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,5.58,7.00,0,-,-
704073639,Психолог Ксения,Фраза,психология журнал официальный сайт,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,психология сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,3,0,0.00,0.00,39.00,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психолог помогающий с паническими атаками екатеринбург,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,116.79,3.00,0,-,-
704073639,Психолог Ксения,Фраза,сервис психологической помощи,Целевые запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог в спб для взрослых понижение тревожности и,Целевые запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,есть платные психологи и сколько стоит отношение,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психотерапевт онлайн консультация,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,124.97,5.00,0,-,-
704073639,Психолог Ксения,Фраза,прием психотерапевта онлайн,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,58.63,3.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психолог кпт воронеж,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,2,0,0.00,0.00,123.39,1.00,0,-,-
704073639,Психолог Ксения,Фраза,платформа ясно психологическая помощь,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,138.38,1,1,59.18,100.00,168.98,1.00,0,0.00,-
704073639,Психолог Ксения,Фраза,психологические сайты для онлайн консультаций,Целевые запросы,Запросы без упоминания брендов,Семантическое,консультация онлайн психологический,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психологическая помощь в можайске стоимость,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,кпт психотерапевт,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,помощь психолога при неврозах в богучаре онлайн,Целевые запросы,Запросы без упоминания брендов,Семантическое,помощь психолога онлайн,Поиск,Спецразмещение,m.images.yandex.ru,Нет,Да,0.00,2,0,0.00,0.00,100.00,-,0,-,-
704073639,Психолог Ксения,Фраза,самые красивые сайты по дизайну психологов,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психологическая,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,кпт психолог сайт,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,51.73,1,1,87.07,100.00,114.85,-,0,0.00,-
704073639,Психолог Ксения,Фраза,психолог личный сайт,Целевые запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,119.70,1.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психолог кпт челябинск,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,2,0,0.00,0.00,93.28,2.00,0,-,-
704073639,Психолог Ксения,Фраза,татьяна дьяченко психолог сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,m.images.yandex.ru,Нет,Да,0.00,2,0,0.00,0.00,100.00,-,0,-,-
704073639,Психолог Ксения,Автотаргетинг,кто из психотерапевтов работает с тревожностью в уфе,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,109.05,2.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт по мужской психологии,Узкие запросы,Запросы без упоминания брендов,Семантическое,психология сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог мужицкая татьяна официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,76.33,2.00,0,-,-
704073639,Психолог Ксения,Фраза,сайты психологов казахстан,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,78.23,3.00,0,-,-
704073639,Психолог Ксения,Фраза,пример онлайн консультации психолога что это,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,запись к психологу через емиас,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,42.65,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психотерапевт онлайн,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,форпост екатеринбург психологический центр официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,156.45,1.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,объявление обращение к психологу,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,94.87,1.00,0,-,-
704073639,Психолог Ксения,Фраза,узнать сколько стоит психолог волгоград красноармейский район,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,124.41,1.00,0,-,-
704073639,Психолог Ксения,Фраза,практический психолог сайт,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,117.74,1.00,0,-,-
704073639,Психолог Ксения,Фраза,в 17 сайт психологов моя страница,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,120.68,1.00,0,-,-
