№ Кампании,Название кампании,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Региона таргетинга,Регион таргетинга,Регион местонахождения,Регион местонахождения,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,"Взвешенный CTR, %","CTR, %",Ср. объём трафика,Ср. позиция показа,Конверсии,"CR, %","CPA, ₽","CPC, ₽","CPM, ₽","Ср. ставка за клик, ₽","Отказы, %",Глубина просмотра
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Мелеуз,20715,Мелеуз,20715,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,6.31,6.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Сочи,239,Сочи,239,Женский,35-44 года,6–10%,Не определено,0.00,1,0,0.00,0.00,44.04,4.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Курск и область,10705,Курск и область,10705,Женский,Старше 55,Остальные,Не определено,23.12,1,1,165.16,100.00,60.55,2.00,0,0.00,-,23.12,23117.13,28.62,100.00,1.00
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Балаково,11143,Балаково,11143,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,66.26,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Азов,11030,Азов,11030,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,46.16,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Вожово,163451,Вожово,163451,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Барнаул,197,Барнаул,197,Женский,Старше 55,Остальные,Не определено,0.00,1,0,0.00,0.00,64.82,2.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Кызыл,11333,Кызыл,11333,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Куйбышев,20103,Куйбышев,20103,Мужской,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,5.58,7.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Петропавловск-Камчатский,78,Горячий Ключ,10991,Женский,Старше 55,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Оренбург,48,Оренбург,48,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0.00,0.00,43.19,4.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Лысково,20047,Москва,213,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0.00,0.00,5.58,7.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Октябрьский,20235,Октябрьский,20235,Женский,25-34 года,6–10%,Не определено,0.00,1,0,0.00,0.00,66.44,3.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Киров,46,Киров,46,Мужской,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,100.00,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Ростов-на-Дону,39,Москва,213,Женский,Старше 55,Остальные,Не определено,0.00,1,0,0.00,0.00,88.68,2.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Ижевск,44,Ягульское сельское поселение,173923,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,5.19,8.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Ворсма,37157,Ворсма,37157,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,101.96,2.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Приозёрск,29544,Приозёрск,29544,Женский,35-44 года,6–10%,Не определено,0.00,1,0,0.00,0.00,100.00,-,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645039970,Активные,Текстово-графическое,Устали бороться с тревогой?,"КПТ-психолог онлайн. Структурный подход, измеримые результаты. Сессия 5 000 ₽.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Городской округ Домодедово,1,Городской округ Домодедово,1,Женский,Старше 55,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Восточно-Казахстанская область,29408,Снежинск,11218,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,91.40,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,Поиск,Прочее,Москва,213,Москва,213,Женский,Старше 55,Топ 1%,Не определено,0.00,1,0,0.00,0.00,5.19,8.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Шалинское,101000,Шалинское,101000,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,62.85,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Сочи,239,Сочи,239,Женский,45-54 года,Остальные,Не определено,0.00,2,0,0.00,0.00,54.25,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17349513059,Активные,Текстово-графическое,КПТ психолог онлайн,Реальные техники и упражнения,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Краснодар,35,Краснодар,35,Не определен,Не определен,Остальные,Не определено,0.00,1,0,0.00,0.00,65.27,2.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Половинский район,99932,Половинский район,99932,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,5.61,4.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Тюмень,55,Усть-Ницинское сельское поселение,180824,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,111.54,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Копейск,11207,Копейск,11207,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Ханты-Мансийск,57,Ханты-Мансийск,57,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,49.98,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Пенза,49,Пенза,49,Мужской,45-54 года,Остальные,Не определено,89.61,1,1,120.25,100.00,83.16,2.00,0,0.00,-,89.61,89613.28,91.42,0.00,1.00
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Абдулино,20031,Матвеевка,101135,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,123.48,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Сосновка,100786,Тамбов,13,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Владивосток,75,Владивосток,75,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Казань,43,Казань,43,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Москва,213,Москва,213,Мужской,35-44 года,2–5%,Не определено,0.00,3,0,0.00,0.00,61.58,2.67,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Караганда,164,Караганда,164,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,11.72,4.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Избербаш,21521,Люберцы,10738,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Омск,66,Омск,66,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Республика Крым,977,Запорожье и область,20001,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,38.33,3.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Комсомольск-на-Амуре,11453,Комсомольск-на-Амуре,11453,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Абакан,1095,Абакан,1095,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,45.22,2.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Омск,66,Лузинское сельское поселение,184855,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,96.43,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Яблоновский,120503,Яблоновский,120503,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,49.42,3.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Манжерокское сельское поселение,181579,Манжерокское сельское поселение,181579,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Ижевск,44,Ижевск,44,Женский,35-44 года,Остальные,Не определено,0.00,2,0,0.00,0.00,25.07,5.50,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Анапа,1107,Анапа,1107,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Хлевное,100737,Хлевное,100737,Женский,45-54 года,Остальные,Не определено,21.52,1,1,145.44,100.00,68.76,3.00,0,0.00,-,21.52,21523.77,22.87,0.00,1.00
